name,description,location,next_direction
Carolina Theatre,"Renovated 1926 Beaux Arts-style theater housing the historic Fletcher Hall for live performances, as well as two cinemas for year round film screenings. Originally named Durham Auditorium, by the 1940s and 50s the Carolina Theatre was a hub for arts with lives shows featuring stars like Ronald Reagan and Katherine Hepburn. In the early 1960s the segregated theater was the center of civil rights protests. Later decades saw the theater fall into decline, being considerd for demolition until a volunteer effort successfully saved and preserved the theater.",309 W Morgan St,na
Civic Center Plaza," Includes fountains, outdoor gathering space, and seating. ",201 Foster St,na
Durham Armory, Durham’s original Civic Center from the late 1950s to 1989. Built by the Works Progress Administration in 1937 to house a National Guard machine-gun company. ,220 Foster St,na
The Durham Convention Center," Anchors the Durham Convention Center Complex and includes 102,940-netsq.-ft. of exhibition/banquet halls, theaters, meeting rooms, reception areas, galleries, and an outdoor plaza. Durham can host most of the nation’s conventions and meetings. ",301 W Morgan St,na
CCB Plaza,"Named for the former Central Carolina Bank, the plaza’s focus is The Major, a lifesized, one-ton bronze bull a legacy emblem of Durham), commissioned by the bank and crafted by local artisans at the George Watts Hill Pavilion for the Arts. The plaza is a central gathering place in downtown where many community based events and performances take place.",E Chapel Hill and Corcoran St,na
Bull City Business Center," Former home of The HeraldSun newspaper; built in the late 1920s with Italian Renaissance styling. Now home to Downtown Durham, Inc. ",115 Market St,na
The Durham Hotel," Now a boutique hotel, this mid-century building is a former Home Savings Bank ","315 East Chapel Hill Street, Durham, NC, United States",na
Through This Lens," Gallery of fine art photography that also offers books, posters, and other items related to photography. ",303 E Chapel Hill St,na
Durham Arts Place, Art studio complex. ,305 E Chapel Hill St,na
Unscripted Hotel,"Unscripted Hotel opened its doors in the summer of 2017, after an extensive facelift of the old Jack Tar Motor Lodge, which was originally built in the early 1960’s. Alongside, minimalist-styled rooms, visitors have options to choose when they’re ready to relax with a beverage. The Patio is a poolside lounge and The Studio, offers a mid-century styled rec-room atmosphere.",202 N Corcoran St,na
City Center," A 27-story skyscraper, which will be home to condos, retail, and office space, is under construction at the site of the former Downtown Durham Woolworth store. In the late 1950s, Rev. Douglas Moore and Floyd McKissick of Durham pioneered the student sit-in movement in several states and trained participants at churches around the community. After national media reported a 1960 sit-in held in nearby Greensboro, Durham protesters began a sit-in at the Woolworth lunch counter – the first attended by Dr. Martin Luther King Jr.",,na
Historic Parrish Street/ Black Wall Street," Known as America’s Black Wall Street from the 1900s. In the 1960s, the street again attracted national attention as a place where civil rights pioneers staged sit-ins and received a memorable visit from Dr. Martin Luther King Jr. Features six public art sculptures marking the significance of Historic Parrish Street. ",Parrish St,na
116 West Parrish - National Historic Monument," Built in 1921 for North Carolina Mutual Life Insurance Co.; later home to and still a branch of Mechanics and Farmers Bank, one of the oldest African American-owned banks in the country. ",315 W Main St,na
Parrish Street Forum, The Parrish Street Common Room is an interpretive space honoring the legacy of African-American entrepreneurs and businesses that developed America’s Black Wall Street. Located in the original 1908 headquarters of Mechanic and Farmers Bank. ,112 W Parrish St,na
Orange Street Mall, Brick walkway named for a 19thcentury tobacco brand Orange of Durham. ,E Chapel Hill St and W Parrish St,na
US Postal Service - Downtown, 1934 neoclassical building paid for in 15 minutes of its first day of operation by taxes on local tobacco. ,"323 E Chapel Hill St, Durham, NC 27701, USA",na
Rogers Alley," Three buildings converted into residential, restaurants, etc., including the 1904 fire station and Wright Building, long known as Roger’s Pharmacy. ",Corner of Mangum St & E Parrish St,na
Durham City Hall & City Hall Plaza," Recognized as a place by the Post Office between 1819 and 1823, Durham gained its current name in 1853, and was incorporated by the state in 1869. ",101 City Hall Plz,na
Trinity United Methodist Church, T1924 Gothic revival church noted for wood carvings. ,215 N Church St,na
Former Durham County Department of Social Services, Established in 1919. The new social services building is at E5. ,220 E Main St,na
Historic Durham County Courthouse, Renovated 1916 neoclassical revival that replaced the 1887 courthouse that once stood on this site. ,200 E Main St,na
Former Durham County Judicial Building,"Site was once the famous Rialto Theater, poolroom, barbershop, and jazz bar.",201 E Main St,na
Celebrate mural ,Celebrate mural created by Michael Brown in 1996. ,108 E Main St,na
Kress Building," Built in 1932, one of the largest and most elaborately detailed art deco buildings in North Carolina and the first building in Durham to have air conditioning. Now luxury condos and offices of Greenfire Development. ",101 W Main St,na
Historic Baldwin Building, 1927 neoclassical building; now home to loft-style apartments and a restaurant. ,107 W Main St,na
1893 Queen Anne-style building, The oldest building that remains inside the Downtown Loop. ,111 W Main St,na
“City View” - First National Bank Building," Originally the site of the 1840s home of Durham namesake Dr. Bartlett Durham. Present building is the neoclassical 1914 First National Bank, with notable cast-iron, flower-swagged canopy. ",123 W Main St,na
21c Museum Hotel," This boutique hotel is home to a museum that is free and open to the public. It’s located in the historic 1935 art deco Hill Building, designed by the same architectural firm that designed the Empire State Building. ",111 Corcoran St,na
